-1,-1,-1,3965468
252,232,112,2
252,236,48,0
252,180,52,0
228,12,8,0
184,104,32,0
164,76,72,2
172,52,52,6
248,224,16,0
244,56,28,0
244,88,64,19
248,132,28,0
164,64,40,0
244,208,104,0
244,216,212,124
216,76,68,5
240,92,16,0
236,164,116,0
244,224,36,0
252,124,44,0
200,52,60,0
248,60,44,1
212,124,12,0
196,108,104,3
240,212,196,100
248,112,76,3
176,40,16,0
252,248,168,16
220,192,168,88
204,168,32,0
228,60,64,1
248,24,20,0
232,48,32,0
252,148,0,0
228,108,68,1
244,12,12,0
204,40,52,12
224,44,0,0
228,176,20,0
248,148,64,0
248,56,20,0
212,168,160,109
252,112,28,0
236,88,32,0
244,140,56,0
240,228,0,0
252,92,24,0
236,4,4,0
244,96,48,0
220,112,112,0
188,148,144,122
236,48,40,0
220,152,12,0
252,240,32,0
240,184,168,399
240,152,108,0
188,68,68,2
252,220,4,0
248,36,4,0
252,160,168,1
244,68,0,0
252,168,24,0
232,212,116,1
232,208,44,0
232,140,144,1
224,68,36,0
232,136,48,0
220,180,172,100
200,124,112,2
188,40,12,0
228,152,152,139
240,44,28,0
212,156,156,62
236,76,8,0
220,52,20,0
228,200,4,0
252,80,32,0
200,48,16,0
220,64,24,0
224,128,72,0
252,60,68,0
248,236,236,260
232,64,40,0
252,44,0,0
208,56,36,0
248,92,0,0
248,224,220,132
232,40,48,4
192,20,4,0
216,180,32,1
244,148,140,0
252,136,76,0
244,60,16,0
240,116,8,0
248,176,16,0
164,56,48,0
252,124,56,0
208,64,64,2
196,132,124,50
220,8,4,0
224,72,60,6
240,236,236,1287
196,104,12,0
252,76,12,0
212,72,68,2
220,4,0,0
252,24,48,10
248,104,24,0
232,96,0,0
248,64,44,0
228,52,28,0
252,76,28,0
244,88,48,0
232,28,12,0
252,204,24,1
248,20,16,0
176,76,76,3
232,200,204,140
192,44,20,0
228,96,64,0
240,100,80,13
228,88,12,0
236,104,40,0
244,124,12,0
232,176,136,10
224,124,96,3
252,112,112,2
252,116,16,0
224,64,68,1
244,128,60,0
252,148,52,0
252,64,28,0
236,8,0,0
228,96,0,0
240,212,32,0
248,120,48,0
212,40,8,0
232,108,36,0
252,244,44,0
252,216,192,341
248,148,144,2
252,192,0,0
252,124,24,0
216,188,116,4
236,204,4,0
232,104,12,0
192,56,52,5
236,184,112,3
228,76,60,1
248,200,192,56
208,44,48,7
248,164,156,1
204,12,20,0
168,40,52,26
168,68,28,0
236,80,12,0
244,148,108,1
252,80,68,38
252,84,44,0
240,112,88,3
236,60,0,0
196,120,120,8
252,60,32,0
204,160,156,83
204,68,48,0
224,64,8,0
216,48,48,3
220,184,100,3
216,48,28,0
192,100,88,1
228,40,20,0
236,160,152,16
252,160,116,11
252,196,180,164
252,164,156,3
244,100,40,0
224,52,52,2
244,48,20,0
240,112,4,0
200,100,76,1
244,204,16,2
228,132,28,0
216,132,0,0
208,116,0,0
208,112,96,1
252,100,36,0
248,92,4,0
228,208,60,0
180,36,12,0
212,76,72,3
232,72,28,0
252,116,80,5
248,104,68,2
248,100,28,0
216,84,4,0
236,200,200,61
248,60,40,1
136,24,12,1
252,176,28,0
252,180,180,27
188,84,88,1
232,200,40,1
248,236,208,48
252,156,24,0
248,228,16,0
248,224,144,10
240,96,92,2
204,48,44,9
252,136,72,0
244,204,200,43
244,216,152,6
