  -775855,  -78948, 1 ,  END,  END,  END,  1, 1, 1, 1,
  -598367,   16679, 0 ,   2 ,  END,  END,  1, 1, 1, 1,
  -426121,  137882, 3 ,   17,   19,  END,  1, 1, 1, 1,
  -345240,  149001, 4 ,   18,  END,  END,  1, 1, 1, 1,
  -216431,  154561, 18,   15,  END,  END,  1, 1, 1, 1,
  -34449,   174576, 4 ,   6 ,   14,  END,  1, 1, 1, 1,  // 5
  89118,    116792, 5 ,   7 ,   13,  END,  1, 1, 1, 1,  // 6
  148281,   165680, 6 ,   8 ,   12,  END,  1, 1, 1, 1,  // 7
  337751,   -38918, 7 ,   9 ,   11,  END,  1, 1, 1, 1,  // 8
  356474,   -77836, 8 ,   10,   22,  END,  1, 1, 1, 1,  // 9
  703961,   147889, 9 ,   11,  END,  END,  1, 1, 1, 1,  // 10
  353478,   163457, 8 ,   10,  END,  END,  1, 1, 1, 1,  // 11
  352729,   161344, 7 ,  END,  END,  END,  1, 1, 1, 1,  // 12
  88370,    302450, 6 ,  END,  END,  END,  1, 1, 1, 1,  // 13
  21718,     64493, 5 ,   15,  END,  END,  1, 1, 1, 1,  // 14
  -161761,   60045, 4 ,   16,  END,  END,  1, 1, 1, 1,  // 15
  -187973, -287995, 15,  END,  END,  END,  1, 1, 1, 1,  // 16
  -320527, -219054, 2 ,  END,  END,  END,  1, 1, 1, 1,  // 17
  -345240,  172353, 3 ,   19,   20,  END,  1, 1, 1, 1,  // 18
  -429117,  155673, 1 ,   2 ,   21,  END,  1, 1, 1, 1,  // 19
  -346738,  216830, 18,   21,  END,  END,  1, 1, 1, 1,  // 20
  -438852,  210158, 19,   20,  END,  END,  1, 1, 1, 1,  // 21
  366958,  -275763, 9 ,  END,  END,  END,  1, 1, 1, 1   // 22

